TEST GNU/4.9.4 GNU/5.5.0 GNU/6.4.0 GNU/7.3.0 GNU/8.1.0 Clang/3.8.0 Clang/5.0.0 Clang/6.0.0 Intel/17.0.2 Intel/18.0.3
1 55.1 55.5 54.2 54.5 32.8 65.0 58.7 55.6 32.4 32.5
2 57.8 58.4 57.4 77.2 32.5 64.8 62.6 60.5 32.5 32.5
3 75.3 73.9 71.9 72.9 71.9 67.5 63.4 60.1 32.4 32.6
4 56.7 57.5 56.3 74.5 32.5 66.4 60.2 57.5 32.5 32.4
5 74.6 73.8 73.7 74.5 74.9 65.4 62.1 59.3 32.5 32.5
6 74.6 73.8 73.5 74.5 74.9 64.9 62.1 58.6 32.5 32.4
7 55.2 56.0 55.4 73.5 32.6 63.8 61.1 57.3 32.5 32.4
8 55.9 58.0 55.8 74.6 32.5 64.8 61.4 57.8 32.4 32.5
9 55.9 56.8 56.0 73.1 32.6 64.8 61.9 59.5 32.4 32.6
10 77.8 76.0 76.7 77.2 76.0 82.1 79.8 75.9 32.5 32.6
11 83.8 79.1 79.0 79.5 78.2 84.5 81.5 77.6 33.1 77.8
12 56.9 56.3 55.5 55.0 54.9 63.9 60.4 55.4 56.3 56.1
13 75.0 75.1 76.6 83.0 74.3 81.3 79.2 75.1 32.4 32.5
14 61.0 60.7 60.3 78.1 80.1 67.5 66.8 63.5 77.8 77.5
15 79.3 78.9 77.7 78.7 33.5 67.5 65.5 63.5 32.4 32.6
16 75.3 73.9 71.9 72.9 71.9 67.1 62.8 59.9 32.4 32.6
17 63.0 63.6 62.1 76.0 32.7 70.0 65.6 61.7 32.4 32.5
18 60.0 62.5 60.1 75.9 32.5 66.9 64.9 61.6 32.4 32.5
19 65.0 65.0 64.4 78.7 32.8 74.8 70.6 66.3 32.6 32.6
20 66.4 66.6 65.7 80.0 78.6 76.0 72.3 67.2 77.3 77.3
21 73.4 68.9 65.7 36.3 36.8 82.1 73.7 70.0 81.1 34.6
22 78.7 77.9 77.6 77.4 77.1 83.1 81.7 77.0 79.0 76.4
23 76.3 68.7 66.4 36.3 36.8 81.8 72.4 70.9 80.9 34.6
